signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
MOM|low|17,168.28452482764675,1.034413935181494,1.5102436070892622,1.0112489423343476
MOM|close|17,167.35952727460096,1.0227570631877452,1.4799603239001466,1.0258720703164543
MOM|close|14,151.67068122081164,0.8172089304902502,1.1722725866783792,0.865608834686161
MOM|low|16,151.24657214751772,0.8114336915787771,1.1749628075167284,0.795123130416117
MOM|close|15,147.21620675634335,0.75593094272439,1.0797086455354237,0.7086089478004258
MOM|close|16,147.21109040133143,0.755859882847893,1.0255719813200035,0.5586142497316071
MOM|low|14,143.47868171559284,0.7034251447435413,1.0150128366364615,0.618836430924301
MOM|low|15,140.07526120299062,0.6547058819991407,0.9399543189278725,0.3917316857584881
MOM|close|13,137.07917334131741,0.6110713336058577,0.8305312282409087,0.43386785299028546
MOM|low|18,135.66827425335293,0.5902730674024322,0.803917009316657,0.5471093672225997
MOM|close|18,134.2010135653847,0.5684697667264552,0.7683125559243288,0.5265562795047739
MOM|high|17,130.37286683078872,0.5107227303177669,0.7279468990600996,0.43801743764164136
MOM|low|13,127.99300784497447,0.4741734973238918,0.6448545191013251,0.3281209016072642
MOM|low|46,126.90833798120644,0.45734467297880316,0.6203319847603205,0.3904170251426081
MOM|low|11,125.71959823039447,0.43877574996527835,0.5927751330134476,0.24740458962341963
MOM|close|47,124.60934390578511,0.4213124680068667,0.5710724060426073,0.33456756037498014
MOM|close|20,124.04987581835431,0.4124679076108791,0.5562582651128429,0.33031514167182846
MOM|low|49,124.012301679513,0.41187282016302906,0.5606854171951241,0.2986464559523674
MOM|close|33,123.38286254836959,0.40188364727512227,0.5468024166288965,0.3498194391084987
MOM|close|30,122.95770181562906,0.39511452547388465,0.5337192020050702,0.34397635126486725
MOM|close|46,122.64987571559094,0.3902024637216207,0.5285878811450154,0.3060433116420926
MOM|low|47,122.11885178801847,0.3817068051265833,0.5177986828406801,0.31962001064276746
MOM|close|41,121.99668379892408,0.37974832984211,0.5150253712020506,0.316561780404044
MOM|low|45,121.86992720793582,0.3777147248858725,0.5128478446029963,0.34362121993632744
MOM|low|12,121.45254857979788,0.3710072278826754,0.49994490906671274,0.19642663889758075
MOM|low|30,120.97183192773062,0.3632602045303444,0.49050401179666914,0.22866696398881758
MOM|low|7,119.94400823602898,0.3466177560998025,0.46594188941255055,0.307666026076186
MOM|close|36,119.56244381884005,0.34041201840550656,0.4597183129260198,0.30494408012617485
MOM|high|16,119.12737175307586,0.3333177219609399,0.4472893337023134,0.30809968644632646
MOM|close|22,119.12094190110352,0.33321272926839934,0.4483836995853435,0.2702235708828521
MOM|high|13,118.90853493157316,0.3297419480556715,0.4422337905125226,0.1920975891758585
MOM|high|14,118.25482927558998,0.31903068390972716,0.45247107749348503,0.16794072438615315
MOM|close|45,118.03299864679533,0.31538573736572906,0.4279832524792244,0.3060679112273453
MOM|high|47,117.95514848414524,0.3141053280271051,0.42336346601566277,0.26572383171673614
MOM|close|31,117.86974630916689,0.3126999723871456,0.4234162732502667,0.20369167155519086
MOM|high|46,117.24228555300658,0.3023509460752905,0.4069991290201399,0.19146148171247326
MOM|low|41,116.87807734779486,0.29632463249822333,0.4004021236205837,0.19881510322176685
MOM|close|44,116.74598360863504,0.2941354515549106,0.3981532239951177,0.22357744528401882
MOM|low|19,116.60376626818689,0.29177639548582857,0.3957199606079926,0.20686424970086656
MOM|close|2,116.58348586492502,0.2914397914973963,0.41979007211285474,0.16930946280295248
MOM|close|48,116.55493319249585,0.2909658665817316,0.39265219491163844,0.2170282286958645
MOM|close|29,115.87370252419609,0.27963192824930433,0.375726993798051,0.22550411369799161
MOM|close|26,115.49281648885457,0.2732729569098314,0.3658740546199863,0.23312967782911537
MOM|low|20,115.28444298532598,0.2697873956270055,0.3650785326824687,0.1788740921437365
MOM|close|28,114.93691097776106,0.26396344265248284,0.35342816850339986,0.2100206974111764
MOM|close|43,114.4858301367751,0.25638429798195467,0.34651386315660904,0.2157814672751928
MOM|close|42,114.3821900172566,0.2546397247416319,0.343196416536996,0.1991789574020678
MOM|close|3,114.08473521592526,0.24962599863846416,0.35298195650769926,0.1595587868108985
MOM|high|49,114.05699147107504,0.24915787925297112,0.3360581373958869,0.16269300544700235
MOM|close|35,113.83100664978672,0.24534149894346155,0.3301488212124605,0.1575152303484322
MOM|close|19,113.80647353082671,0.2449268444412313,0.3293783593307183,0.1946172469498996
MOM|close|32,113.6942128528577,0.24302856801366193,0.3298408178470795,0.18312862700209873
MOM|low|33,113.65578486386138,0.24237844289156843,0.32736964226100856,0.16168857186146396
MOM|high|7,113.31237728396637,0.23656126769280741,0.31414365144637024,0.17060926841955104
MOM|high|45,112.63733089318548,0.22508725081001998,0.30334845328822296,0.20687042182042292
MOM|close|10,112.58975148960263,0.22427656464707518,0.2977826852004066,0.1542372725727025
MOM|close|11,112.45498459376329,0.22197891428385272,0.2961178436286769,0.1219115030635647
MOM|high|48,112.33846376706684,0.2199906609659396,0.29574035221603084,0.16298960291312628
MOM|low|28,111.89947134168084,0.2124858622776488,0.2853286101443206,0.1450490936374831
MOM|close|9,111.34843070019744,0.20303392252357955,0.2690828735892138,0.11013098116218915
MOM|close|34,110.63243396784497,0.19069944943573014,0.25658550406718733,0.10864862293816464
MOM|high|15,110.57964543615446,0.1897876720296338,0.25366795243465406,0.11734248063668093
MOM|low|31,110.49481493321068,0.18832176520633076,0.25389391231726677,0.11201645257386472
MOM|close|21,110.37796913763569,0.18630122555683357,0.2510064289315268,0.1251858713965942
MOM|low|29,110.01325989119238,0.1799841049165853,0.24172991483816914,0.13073249191352276
MOM|low|27,109.77535513011712,0.17585481025146657,0.23586478977763664,0.16319236358742795
MOM|high|32,109.75748948556063,0.17554444398518157,0.23665724987853315,0.10545623931268626
MOM|low|35,109.63659089837587,0.17344315974436084,0.23309926639183423,0.11446212726188199
MOM|high|30,109.25075832024437,0.16672541829190207,0.2239921217107565,0.11101663105929174
MOM|low|32,108.77378371081004,0.15839591943993667,0.2138279801920921,0.09967096230733744
MOM|low|23,108.61500214851807,0.155616949796711,0.2102407584507251,0.09638605167579643
MOM|low|44,108.53681001819346,0.15424731296222657,0.208563913982639,0.12133266385414004
MOM|low|22,108.44021308919625,0.15255425971213946,0.20567088375244957,0.09834514916971916
MOM|high|11,108.3082432975486,0.15023938015522306,0.19988934872680367,0.06570031301375724
MOM|close|49,107.6836517134107,0.13925435509782824,0.18729129125652955,0.08372046520235595
MOM|high|44,107.60089472198557,0.1377952458752578,0.18532658729867493,0.12524004668395033
MOM|high|19,107.5385082980978,0.13669473336478088,0.18302203824934418,0.09122155860640857
MOM|close|7,107.25876471126064,0.13175403006838587,0.1748274136170211,0.12060917690136264
MOM|low|25,106.96740810070517,0.12659783462935448,0.17036029053344082,0.07391790397103258
MOM|high|31,106.92495391248751,0.12584562697208443,0.16930422819957983,0.08346197796116886
MOM|low|48,106.41395156797859,0.11677383621355669,0.1571792191415255,0.0829162877765453
MOM|low|24,106.09975617577452,0.11117955177348268,0.14987280254130547,0.05895958129253044
MOM|high|41,105.70023427292736,0.10404786649177267,0.13957820682291683,0.06412155420383474
MOM|high|24,105.25861979297677,0.0961410053168356,0.12829757040414466,0.061940821531828345
MOM|high|23,105.15506784020747,0.09428332909150443,0.12612441879896066,0.0683863538393786
MOM|close|12,104.95771354811797,0.0907390396211441,0.12032693693978251,0.04764816948082015
MOM|high|33,104.70421515069907,0.08617904165945989,0.11587684407217701,0.04567081479295517
MOM|low|40,104.3604811464742,0.07998248270455136,0.10798819866128194,0.05031536859001024
MOM|low|2,103.6472304276867,0.06707507744758145,0.09627896237366769,0.043802716681631826
MOM|high|12,103.38366261298538,0.06228837226755949,0.08276183742907724,0.0235035639355451
MOM|low|26,103.1314505179799,0.05769923346637678,0.07738910869490938,0.03615759351970309
MOM|high|34,102.75511963353334,0.050835848867835175,0.06815404403816731,0.026019939099447612
MOM|low|36,102.66766026946416,0.04923807033824444,0.06591789859876268,0.02957381538978778
MOM|high|40,102.625685553191,0.04847087593116205,0.0651504876549604,0.03201518957975207
MOM|high|10,102.60400548188863,0.04807452456926069,0.06411258977639918,0.02581628021892453
MOM|close|4,102.12937835768206,0.039381526761982436,0.055370197742167726,0.017229541427711458
MOM|low|43,101.52212095093111,0.02821459965726856,0.0380073870039446,0.021454075308808242
MOM|low|21,101.4985710207662,0.027780518842070664,0.03738239215269543,0.018426178381799562
MOM|low|42,101.49852546282337,0.027779679040778826,0.03727365390193452,0.020932000210190867
MOM|high|28,101.46284105568617,0.027121785508885676,0.03604942577260165,0.0180083727171118
MOM|high|27,100.9381249909441,0.017427582948778338,0.023199195898751808,0.012744851372866742
MOM|close|25,100.92680516964165,0.017218027281990154,0.02300201614254733,0.008818926869860175
MOM|high|35,100.56568030813655,0.010523416917365525,0.014049102673348645,0.006255425998992212
MOM|high|26,100.51540981949711,0.00959004791918269,0.01276426488010415,0.007003431388149179
MOM|close|40,100.47065971352187,0.008758877841361248,0.01180490793952244,0.005719972030743031
MOM|high|36,100.38810318574414,0.007224770352520096,0.009657409921228238,0.004781664936445629
MOM|high|43,100.34375217045408,0.0064002223562174936,0.008587523900585821,0.004190526292618714
MOM|low|4,100.32730717296477,0.0060944163490646835,0.008627265574244711,0.002662772485854675
MOM|close|6,99.23286365687561,-0.014343443361868937,-0.018910519923828053,-0.00843148408948886
MOM|high|18,99.16381206598517,-0.015638645269937662,-0.020902350814684983,-0.014462247824590083
MOM|low|9,99.06286036329708,-0.01753342887648962,-0.023349565113684915,-0.007268894819133753
MOM|close|37,98.02690396060483,-0.037062581922228596,-0.049724420514946556,-0.02188243563749402
MOM|close|27,97.66087036123028,-0.04400020197606583,-0.058345016134438855,-0.03429707474945753
MOM|close|24,97.09848431065605,-0.05469789443246804,-0.07284789645014067,-0.03611616996630129
MOM|high|20,96.79401138107858,-0.06050918010725145,-0.08081299512604494,-0.03264712955425555
MOM|low|34,96.54807379099498,-0.06521336362123811,-0.08714530084287309,-0.03621282388945879
MOM|close|8,95.64943435281023,-0.08247975482390248,-0.10901950604943658,-0.05305817389615338
MOM|high|42,95.6316925295183,-0.08282188060213529,-0.11048459381090975,-0.050376386743907604
MOM|high|22,94.47939467309028,-0.10514608700868519,-0.1399104156832265,-0.05464500880810936
MOM|close|23,94.44207962048536,-0.10587245826607423,-0.14094479846603142,-0.07920398814370029
MOM|close|39,94.42667985666344,-0.1061722920826263,-0.1427679670473995,-0.05477765185655528
MOM|low|3,94.21887113422697,-0.11022196430374594,-0.15738575942303093,-0.0485714422088602
MOM|low|8,94.20184580902854,-0.11055404406099471,-0.14723348584013804,-0.06400528394882592
MOM|high|25,93.89783564642646,-0.1164914729463475,-0.15464211960621577,-0.06766411123893054
MOM|high|39,93.43825736892154,-0.12549493711471116,-0.16823456644786908,-0.07513383448596446
MOM|high|3,93.41681491286202,-0.12591583086909516,-0.17770480264062563,-0.04804611620132517
MOM|low|10,93.25295449992753,-0.12913465183510187,-0.17190064641645333,-0.055403130938129166
MOM|high|21,91.85378428572444,-0.15679566683965487,-0.20855254081710037,-0.0818111292387634
MOM|high|29,91.4164299762078,-0.16550750654186305,-0.219461693652985,-0.0943439991856235
MOM|low|5,91.05812666249821,-0.1726682833681005,-0.2284596297709756,-0.08981366502209324
MOM|close|38,91.01950021326915,-0.17344151761475196,-0.2325781302317394,-0.07790043662923463
MOM|low|37,90.1223281286814,-0.1914717598420442,-0.25610825451292724,-0.09910933633637896
MOM|low|39,89.33721961869271,-0.20736192601065107,-0.27714541077713517,-0.10680732170887096
MOM|high|9,89.11861255521629,-0.21180525823851576,-0.27823155475346506,-0.08124779285770369
MOM|low|6,89.11388854417804,-0.2119013685102661,-0.2801422677476723,-0.10420673866362302
MOM|high|37,83.90469994837797,-0.32031827818607445,-0.4268136971859833,-0.14086926794542293
